epoch,train_loss,loss,dice,iou,positive_dice,positive_iou,empty_accuracy,empty_mean_false_positive_pixels,micro_dice,micro_iou,count,positive_count,empty_count,empty_exact_correct,encoder_lr,decoder_lr,head_lr
1,0.9225073971431633,0.7240741616242552,0.6675704562500732,0.6045148062379393,0.8182871236520655,0.7280309971641091,0.3181818181818182,2490.7727272727275,0.8730352984785567,0.7746784768856799,73,51,22,7,0.0001,0.001,0.001
2,0.572733969706011,0.5710340325963007,0.6395349037157346,0.5864008999850652,0.85658918058171,0.7805346075226279,0.13636363636363635,3443.3636363636365,0.891512670106271,0.8042605865343907,73,51,22,3,0.0001,0.001,0.001
3,0.45941801792581144,0.5051438641058256,0.6434627028360759,0.5916862569443168,0.8818191628830105,0.8077077888974956,0.09090909090909091,2960.5,0.9058225163315518,0.8278570248901495,73,51,22,2,0.0001,0.001,0.001
4,0.4157998010901068,0.5015077452137046,0.6465812047866926,0.5958965877964072,0.866675076531429,0.7941264930893394,0.13636363636363635,2024.409090909091,0.9130201492599828,0.8399605095148706,73,51,22,3,0.0001,0.001,0.001
5,0.3781411662092948,0.48768743995117814,0.6801919455397619,0.6315567199498007,0.8755688725733289,0.805953727048986,0.22727272727272727,2187.409090909091,0.917876426486142,0.8482177534545571,73,51,22,5,0.0001,0.001,0.001
6,0.35484849174964034,0.4704356618123512,0.6727189446148807,0.6262160596782214,0.8844800486284143,0.8179171377537298,0.18181818181818182,2075.6363636363635,0.9255089022760592,0.8613462728881927,73,51,22,4,0.0001,0.001,0.001
7,0.3353542284112135,0.47160739339377783,0.6598084136231305,0.6117569150990003,0.8856081401600557,0.8168285068343667,0.13636363636363635,2055.681818181818,0.9222191077669648,0.8556647407769823,73,51,22,3,0.0001,0.001,0.001
8,0.3152820947425392,0.4773573644765436,0.7090153620667654,0.6630661528404445,0.8776102147850335,0.8118397920739417,0.3181818181818182,1789.090909090909,0.9257703735088231,0.8617993310543152,73,51,22,7,0.0001,0.001,0.001
9,0.3036225186282858,0.4700232411492361,0.6636768073251803,0.618252305951837,0.8911452199898514,0.8261258496957666,0.13636363636363635,2205.681818181818,0.9249688910461956,0.8604112786525351,73,51,22,3,0.0001,0.001,0.001
10,0.3044997910072003,0.4712705532573674,0.6503853038565753,0.6056923139585207,0.8917279839515686,0.8277556650778827,0.09090909090909091,2559.7272727272725,0.922838357150143,0.8567315437528767,73,51,22,2,0.0001,0.001,0.001
11,0.29491908086731866,0.4741295092318156,0.7176034287230609,0.6752940448996139,0.8899029376460057,0.8293424517500634,0.3181818181818182,2275.909090909091,0.9275218096836382,0.8648397870077302,73,51,22,7,0.0001,0.001,0.001
12,0.3021167864218849,0.46453144595231094,0.7013994814598397,0.6548776422461419,0.8863169095095467,0.8197268212542814,0.2727272727272727,1781.7272727272727,0.9243001262324573,0.8592546571518863,73,51,22,6,0.0001,0.001,0.001
13,0.31885551339585844,0.5074415456962912,0.7618361891132511,0.7127262827468245,0.8747851427863625,0.8044905709285363,0.5,1979.3181818181818,0.9194675777150997,0.8509393691036018,73,51,22,11,0.0001,0.001,0.001
14,0.30306317038641645,0.48442351471071377,0.6462713496325767,0.6012110685648984,0.8858393781325397,0.8213413427857792,0.09090909090909091,2538.4545454545455,0.9191268906041272,0.8503559600236983,73,51,22,2,0.0001,0.001,0.001
